Address,Address Tag,Type,Token Balance,Percentage,Txhash,DateTime,Value,Transfer Type
0x566e0e2d1ae2d5939b5d85181285b3be53727b10,-,Eoa,"3,178,153.80",0.04%,,,,
0xba4911528d7d0e6295d542a369ea766c9a27f201,-,Eoa,"3,178,123.83",0.04%,,,,
0x9cf8d0347507aa597873d01bef031cf60ce42780,-,Eoa,"3,178,119.44",0.04%,,,,
0xe419b548d6e452761ac9e659aafa1398ffbac167,-,Eoa,"3,178,104.75",0.04%,,,,
0x8cd10461c6a37ced9531a4c64f0e435f3f883182,-,Eoa,"3,178,093.78",0.04%,,,,
0x0ad459e2184ec0d781785d5a22c7aec590d06f0b,-,Eoa,"3,171,268.76",0.04%,,,,
0xbbaf44fd538e9c1627941178f7e858cdc00ade7f,-,Eoa,"3,100,796.60",0.04%,,,,
0x608808425a63f5392208eb3829c90ead3201eefd,-,Eoa,"3,095,850.06",0.04%,,,,
0x85ca385083edde2fe0d7c7bc4935a722ea70de66,-,Eoa,"3,084,655.40",0.04%,,,,
0xe4245a1ce1b02acd816908147a6569cc4f9c54c5,-,Eoa,"3,083,833.06",0.04%,,,,
0x867eebea3503a7aa718a45982e3b19f770893a60,-,Eoa,"3,083,831.22",0.04%,,,,
0x54866f6ad87a46504a0cbbf38dbe388d77f03b01,-,Eoa,"3,083,827.85",0.04%,,,,
0x5450e926156607442f93fcd088981bfe32cad161,-,Eoa,"3,083,822.92",0.04%,,,,
0x19b3ed41b1955cdd2e673cab0cb90a64aa661f6f,-,Eoa,"3,083,820.45",0.04%,,,,
0x258494a21d9ea90fcbcb9e22bd57c6899de0d995,-,Eoa,"3,074,617.29",0.04%,,,,
0x9edcb464c0afdd01a5ffbd09309b437c7dadeab3,-,Eoa,"3,065,715.79",0.04%,,,,
0xf129b508f27f580951d5a0352de48c49a972ca09,-,Eoa,"3,037,349.86",0.04%,,,,
0x5a1ed9f4eb56506043a298fcb4223a4d9d8f54d8,-,Eoa,"3,000,000.00",0.04%,,,,
0x9693bb8096b081f91d3a8f45c7c1be6699edd6bd,-,Eoa,"2,990,324.27",0.04%,,,,
0x0073db8a49c05a351fd0d81cf9c41d49720cc723,-,Eoa,"2,990,321.00",0.04%,,,,
0xfb9f667a0d8ad44cb8b1d9e6d49f685e5047f1dc,-,Eoa,"2,990,313.81",0.04%,,,,
0x38326167fa99464b19094bc072cf2ba76e736149,-,Eoa,"2,990,310.35",0.04%,,,,
0xcbe2ce3145b4d693158b1a71bb34e9c6d5cecf24,-,Eoa,"2,990,192.91",0.04%,,,,
0xd9a1b87117ac00102b56e8a53963920e5aeef550,-,Eoa,"2,989,559.25",0.04%,,,,
0x6f56378727922cba5f4f79bc93a2a8ffafc7d464,-,Eoa,"2,989,491.30",0.04%,,,,
0xde8fb851275956971ead360eab2d86615a166626,-,Eoa,"2,989,486.71",0.04%,,,,
0xc1ed354790597ceea4d6e6c4c152d61fb5729fac,-,Eoa,"2,989,476.13",0.04%,,,,
0x5047fcc43e4753264e7233cdcd872af5d7d70bb3,-,Eoa,"2,989,471.90",0.04%,,,,
0x24b0112d325fe7eb8c49c802eb767f6c5f505b33,-,Eoa,"2,989,466.11",0.04%,,,,
0xa3f04c0681286ef3c90f22e065a1cf4b225180b3,-,Eoa,"2,989,458.91",0.04%,,,,
0xbca26b72c330818687bef829e525e64c0381b023,-,Eoa,"2,989,442.05",0.04%,,,,
0x321f7d116f980fac4415262e50f674effd5ff58d,-,Eoa,"2,968,746.00",0.04%,,,,
0xa9bff538a906154c80a8dbccd229f3deddfa52d6,Max Exchange,Eoa,"2,944,690.06",0.04%,,,,
0x35d2d03607b9155b42cf673102fe58251ac4f644,Phemex,Eoa,"2,902,093.22",0.04%,,,,
0xd87653ae81507cdfdd82df839a3fa74e5b14ed82,-,Eoa,"2,847,454.00",0.04%,,,,
0x0601fad9036a2704ec1103f013a7d9b8f324f98f,-,Eoa,"2,796,322.13",0.03%,,,,
0x5fa64368bfa9ebecafc749e59c6629df7f230f80,-,Eoa,"2,795,673.68",0.03%,,,,
0x7bd5e41f198325455b74af52ce0f9b537ebc636f,-,Eoa,"2,781,591.76",0.03%,,,,
0x489a8756c18c0b8b24ec2a2b9ff3d4d447f79bec,BNB Bridge Exploiter,Eoa,"2,779,718.76",0.03%,,,,
0x3e15489750c2815ae2bc347e7ca836e639a4fd0b,-,Eoa,"2,772,202.83",0.03%,,,,
