Address,Address Tag,Token Balance,Percentage,Token
0x1b8d0e5095bf368a962df1222282720fa33c60de,-,2144.88,0.00%,BNB
0x316fc62528c317e569fe5aa4df6c1af0c4f2e678,-,2121.42,0.00%,BNB
0x5c70f9007e6d928d0d9767d383a1d6a0eb3ea6c7,-,2111.96,0.00%,BNB
0xadcf6e49e999227ab909fbbeedd81115f5fb53c3,-,2109.96,0.00%,BNB
0x26a9f35a02510e1ad9bac0f05456a188b76f6afb,-,2098.12,0.00%,BNB
0xfe7a275bcfcd2e193f498fa2da7e77d06d455034,-,2088,0.00%,BNB
0xd01da71336ddc0dc2c07a53470157bee935f6d58,-,2085.41,0.00%,BNB
0xceae7673553c90d0a3cd1a494da35ede63910cbf,-,2077.02,0.00%,BNB
0x1a07e7458bbfe49473fc64aa9ddac297d9e9b674,Binance Deposit Address,2074.93,0.00%,BNB
0x6495a2c7e8447f40f928c48a087f0241c5ad862e,-,2073.58,0.00%,BNB
0xa29e963992597b21bcdcaa969d571984869c4ff5,-,2073.04,0.00%,BNB
0x35f3eec154df485c78a46bc24e9f27aaddea9e2d,-,2035.01,0.00%,BNB
0xb299646301b7c3d2f8c108f02e7f68630ed2e7f2,-,2016.31,0.00%,BNB
0x70654237189985f006af021a9c84e4b7ecec53f5,-,2002.51,0.00%,BNB
0xbb772d6e37c3ddb0f08e05c10d05419db54c9fd8,-,2002,0.00%,BNB
0xd6579b6f3c036038239c51c3d2ae623be1f23bed,-,2002,0.00%,BNB
0xe9e14034dc9452c0adb1be7f6cab16809036c4f7,-,2002,0.00%,BNB
0xb7fce9e05c681fb92e867d9893255dce3e8790a2,-,2002,0.00%,BNB
0xaaf6822f7d79b0001388a87e254719a79a1d0928,-,2000.99,0.00%,BNB
0xd067805d8c6a3d2b2ed5b4a55a7bbabd9502c52e,-,2000.41,0.00%,BNB
0x33db549b344b87f0340f6a39ff10f743c99bb3d1,Binance Deposit Address,2000,0.00%,BNB
0xb0b13a38af0449d96ef112a0e9f9f509c9f2a043,Binance Deposit Address,2000,0.00%,BNB
0x948a890f0f3a698b42f4387cf62df41afd27012c,-,2000,0.00%,BNB
0x00f05eea0e3d8da04db37f9d255d3e2a8ac61743,-,2000,0.00%,BNB
0x939ac89e5fdc3bfb3f2f3dc84e6d055caf64db2a,-,1982.01,0.00%,BNB
0xf3811994766fd56bea445bf878d976aad1dec10d,-,1973.37,0.00%,BNB
0x635308e731a878741bfec299e67f5fd28c7553d9,KuCoin,1970.09,0.00%,BNB
0x11ce57047721d1b07dbc59682b20e3051b6f288b,-,1958.61,0.00%,BNB
0x2da379f0b5829a2cb580480cdbcd018d6ed3ba49,-,1956.54,0.00%,BNB
0xf52f9884a057b4ad76d51a32af3f96742b2f0b1b,-,1955.36,0.00%,BNB
0xef8783382ef80ec23b66c43575a6103deca909c3,-,1942.23,0.00%,BNB
0xa3ccd5671e893d9c8d5c32f3b65d2ce5fcefc6d6,_haoliang_,1918.68,0.00%,BNB
0x9e538c7e7a8019278b8fc497b0d374e148a6ea6e,-,1913.33,0.00%,BNB
0xf22c9c17e5bfd06751d86b62a8f47843d2a68281,-,1894.86,0.00%,BNB
0xea48ba2edefae9e4ddd43ea565aa8b9aa22baf08,-,1893.82,0.00%,BNB
0x94540318f83a4dd8f79cc94172a259ed7003181a,-,1866.95,0.00%,BNB
0x215ac1a98a7ad09439c2c3251b24918aa3d27af2,-,1859.7,0.00%,BNB
0x27fcc4fbcf6b81b8a162b241731158793973054f,-,1848.1,0.00%,BNB
0xbfe050d085de276ab759938c96e75ae4154a8096,-,1844.76,0.00%,BNB
0x1903460aafbecbd1f37e365cd830e2ee6ae922ba,-,1843.66,0.00%,BNB
0xe93685f3bba03016f02bd1828badd6195988d950,Layer Zero: Executor,1842.27,0.00%,BNB
0x997bf89e5e068f375edf0134514f40b83833dedd,-,1838.36,0.00%,BNB
0x4a4b64cf0e79f72651fb9cc9f0b0883d02ad561e,-,1837.42,0.00%,BNB
0xd29c634775aac291e9a7f8c2c0e065706ff2b3f4,-,1832.03,0.00%,BNB
0xe61daa01934becb1e2e96ceece92fa8f200eefa9,-,1826.37,0.00%,BNB
0x776019ec6b3dee2b8fd4232cc70395a75e0eb0d2,-,1825.03,0.00%,BNB
0x57c691fd2fced13729136921faaf9ee4d2b9a5cd,-,1814.77,0.00%,BNB
